time_to_expiry,log_moneyness,strike,implied_volatility,call_recovered_iv,put_recovered_iv,call_abs_error,put_abs_error,call_put_iv_difference
0.2465753424657534,-0.09999999999999998,91.15555531855638,0.22539199869263082,0.2253919986926306,0.22539199869263132,2.220446049250313e-16,4.996003610813204e-16,7.216449660063518e-16
0.2465753424657534,-0.04999999999999999,95.82920058050408,0.22004199869263083,0.22004199869241126,0.22004199869241214,2.1957435869524033e-13,2.186861802755402e-13,8.881784197001252e-16
0.2465753424657534,0.0,100.74246875910444,0.21559199869263082,0.2155919986928079,0.2155919986928077,1.7708057242771247e-13,1.7688628339840307e-13,1.942890293094024e-16
0.2465753424657534,0.04999999999999999,105.90764558401108,0.21204199869263082,0.21204199869263068,0.21204199869263154,1.3877787807814457e-16,7.216449660063518e-16,8.604228440844963e-16
0.2465753424657534,0.09999999999999998,111.3376466877067,0.2093919986926308,0.2093919986926312,0.2093919986926317,3.885780586188048e-16,8.881784197001252e-16,4.996003610813204e-16
0.2465753424657534,0.15000000000000002,117.04604990131182,0.2076419986926308,0.2076419986926276,0.20764199869262764,3.219646771412954e-15,3.164135620181696e-15,5.551115123125783e-17
0.2465753424657534,0.20000000000000007,123.04712920623491,0.20679199869263082,0.2067919986925818,0.20679199869258755,4.901634653720066e-14,4.3270942384765476e-14,5.745404152435185e-15
0.2465753424657534,0.25,129.35589042656085,0.20684199869263084,0.20684199869262976,0.20684199869262948,1.0824674490095276e-15,1.3600232051658168e-15,2.7755575615628914e-16
0.2465753424657534,0.30000000000000004,135.98810875142746,0.20779199869263082,0.20779199869278314,0.2077919986927514,1.5232259897857148e-13,1.20570220474292e-13,3.175237850427948e-14
0.2465753424657534,0.35,142.96036818121513,0.2096419986926308,0.20964199869250247,0.20964199869219705,1.283417816466681e-13,4.3376413572104866e-13,3.0542235407438056e-13
0.2465753424657534,0.4,150.2901029961861,0.2123919986926308,0.21239199869262984,0.21239199869296274,9.71445146547012e-16,3.319289287873062e-13,3.329003739338532e-13
0.4931506849315068,-0.4,68.03108319446532,0.27278223117838496,0.2727822311783911,0.272782231178385,6.161737786669619e-15,5.551115123125783e-17,6.106226635438361e-15
0.4931506849315068,-0.35000000000000003,71.51911141749406,0.2620322311783849,0.2620322311783831,0.2620322311783847,1.8318679906315083e-15,2.220446049250313e-16,1.609823385706477e-15
0.4931506849315068,-0.30000000000000004,75.18597467170801,0.25218223117838495,0.25218223117844896,0.2521822311784461,6.400435736964027e-14,6.117328865684613e-14,2.831068712794149e-15
